
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt155623630.2"   ,    0.00000,  8.11925E+0003,  7.96743E+0003
"bmt155623630.3"   ,    0.00000,  8.14047E+0003,  7.96743E+0003
"bmt8910545b.1"    ,    0.00000,  8.17162E+0003,  7.96743E+0003
"bmt8910545b.2"    ,    0.00000,  8.11934E+0003,  7.96743E+0003
"bmt8910545b.3"    ,    0.00000,  8.14054E+0003,  7.96743E+0003
"bmt8910543b.1"    ,    0.00000,  8.17162E+0003,  7.96743E+0003
"bmt8910543b.2"    ,    0.00000,  8.11933E+0003,  7.96743E+0003
"bmt8910543b.3"    ,    0.00000,  8.14053E+0003,  7.96743E+0003
"bmt155623625.1"   ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt155623625.2"   ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt155623625.3"   ,    0.00000,  8.14053E+0003,  7.96743E+0003
"bmt155623626.1"   ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt155623626.2"   ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt155623626.3"   ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910566b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910566b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910566b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910572b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910572b.2"    ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt8910572b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910577b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910577b.2"    ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt8910577b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910580b.1"    ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt8910580b.2"    ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt8910580b.3"    ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt8910582b.1"    ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt8910582b.2"    ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt8910582b.3"    ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt8910584b.1"    ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt8910584b.2"    ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt8910584b.3"    ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt8910586b.1"    ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt8910586b.2"    ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt8910586b.3"    ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt155623628.1"   ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt155623628.2"   ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt155623628.3"   ,    0.00000,  8.14050E+0003,  7.96743E+0003
"bmt8910534b.1"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8910534b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910534b.3"    ,    0.00000,  8.14053E+0003,  7.96743E+0003
