
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt2575270b       8.232      1.033          0          0         0         0
bmt154998681      8.261      1.037    0.08897      1.077   0.05491    0.6646
bmt125117976      8.261      1.037    0.08898      1.077   0.05491    0.6647
bmt125127601      8.081      1.014          0          0         0         0
bmt2847640b       8.081      1.014          0          0         0         0
bmt163888610       8.13       1.02          0          0         0         0
bmt163888611       8.13       1.02          0          0         0         0
bmt163888612       8.13       1.02          0          0         0         0
bmt163888615      8.129       1.02          0          0         0         0
bmt2616234b       8.129       1.02          0          0         0         0
bmt2616255b       8.129       1.02          0          0         0         0
bmt163888620       8.13       1.02          0          0         0         0
bmt2616185b        8.13       1.02          0          0         0         0
bmt163888622       8.13       1.02          0          0         0         0
bmt1910158b        8.13       1.02          0          0         0         0
bmt1599225b       8.059      1.011    0.03613     0.4484   0.04109    0.5099
bmt2616549b       8.054      1.011    0.03715     0.4613   0.04147    0.5148
bmt125117199      8.047       1.01    0.03898     0.4844   0.04213    0.5236
bmt1599239b       8.043       1.01    0.03991     0.4962   0.04247     0.528
bmt125127573      7.986      1.002          0          0         0         0
bmt125127580      7.986      1.002          0          0         0         0
bmt2616871b       8.041      1.009    0.04059     0.5048   0.04272    0.5313
bmt125127587      7.986      1.002          0          0         0         0
bmt2612118b       7.986      1.002          0          0         0         0
bmt149850272      8.302      1.042    0.02196     0.2645   0.03469    0.4178
bmt149850273      8.302      1.042    0.02196     0.2645   0.03469    0.4178
bmt169432993      8.031      1.008    0.04292     0.5344   0.04356    0.5424
bmt2616878b       8.028      1.008    0.04375      0.545   0.04387    0.5464
bmt125127545      7.957     0.9987          0          0         0         0
bmt125127552      7.957     0.9987          0          0         0         0
bmt125117220      8.025      1.007    0.04447     0.5541   0.04413    0.5498
bmt2617865b       8.022      1.007    0.04522     0.5637    0.0444    0.5535
bmt125127503      8.035      1.008          0          0         0         0
bmt2617872b       8.035      1.008          0          0         0         0
bmt125127559      7.957     0.9987          0          0         0         0
bmt2616885b       7.957     0.9987          0          0         0         0
bmt1599309b       7.957     0.9987          0          0         0         0
bmt125127566      7.957     0.9987          0          0         0         0
bmt167772132      8.017      1.006     0.0466     0.5813   0.04491    0.5602
bmt2617879b        8.01      1.005    0.04819     0.6017   0.04548    0.5678
bmt125127517      8.035      1.008          0          0         0         0
bmt125127524      8.035      1.008          0          0         0         0
bmt167772133      8.008      1.005    0.04883     0.6098   0.04572    0.5709
bmt167772134      7.934     0.9958          0          0         0         0
bmt2617886b       8.005      1.005    0.04954     0.6189   0.04597    0.5743
bmt167772135      7.988      1.003    0.05361     0.6711   0.04745     0.594
bmt125117269      7.986      1.002    0.05423     0.6791   0.04768     0.597
bmt2616304b       7.988      1.003    0.05361     0.6711   0.04745     0.594
